GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC02_VC01,Number - Both sexes; Total population
HC03_VC01,Number - Male; Total population
HC04_VC01,Number - Female; Total population
HC06_VC01,Percent - Both sexes; Total population
HC07_VC01,Percent - Male; Total population
HC08_VC01,Percent - Female; Total population
HC09_VC01,Males per 100 females; Total population
HC02_VC02,Number - Both sexes; Total population - Under 5 years
HC03_VC02,Number - Male; Total population - Under 5 years
HC04_VC02,Number - Female; Total population - Under 5 years
HC06_VC02,Percent - Both sexes; Total population - Under 5 years
HC07_VC02,Percent - Male; Total population - Under 5 years
HC08_VC02,Percent - Female; Total population - Under 5 years
HC09_VC02,Males per 100 females; Total population - Under 5 years
HC02_VC03,Number - Both sexes; Total population - 5 to 9 years
HC03_VC03,Number - Male; Total population - 5 to 9 years
HC04_VC03,Number - Female; Total population - 5 to 9 years
HC06_VC03,Percent - Both sexes; Total population - 5 to 9 years
HC07_VC03,Percent - Male; Total population - 5 to 9 years
HC08_VC03,Percent - Female; Total population - 5 to 9 years
HC09_VC03,Males per 100 females; Total population - 5 to 9 years
HC02_VC04,Number - Both sexes; Total population - 10 to 14 years
HC03_VC04,Number - Male; Total population - 10 to 14 years
HC04_VC04,Number - Female; Total population - 10 to 14 years
HC06_VC04,Percent - Both sexes; Total population - 10 to 14 years
HC07_VC04,Percent - Male; Total population - 10 to 14 years
HC08_VC04,Percent - Female; Total population - 10 to 14 years
HC09_VC04,Males per 100 females; Total population - 10 to 14 years
HC02_VC05,Number - Both sexes; Total population - 15 to 19 years
HC03_VC05,Number - Male; Total population - 15 to 19 years
HC04_VC05,Number - Female; Total population - 15 to 19 years
HC06_VC05,Percent - Both sexes; Total population - 15 to 19 years
HC07_VC05,Percent - Male; Total population - 15 to 19 years
HC08_VC05,Percent - Female; Total population - 15 to 19 years
HC09_VC05,Males per 100 females; Total population - 15 to 19 years
HC02_VC06,Number - Both sexes; Total population - 20 to 24 years
HC03_VC06,Number - Male; Total population - 20 to 24 years
HC04_VC06,Number - Female; Total population - 20 to 24 years
HC06_VC06,Percent - Both sexes; Total population - 20 to 24 years
HC07_VC06,Percent - Male; Total population - 20 to 24 years
HC08_VC06,Percent - Female; Total population - 20 to 24 years
HC09_VC06,Males per 100 females; Total population - 20 to 24 years
HC02_VC07,Number - Both sexes; Total population - 25 to 29 years
HC03_VC07,Number - Male; Total population - 25 to 29 years
HC04_VC07,Number - Female; Total population - 25 to 29 years
HC06_VC07,Percent - Both sexes; Total population - 25 to 29 years
HC07_VC07,Percent - Male; Total population - 25 to 29 years
HC08_VC07,Percent - Female; Total population - 25 to 29 years
HC09_VC07,Males per 100 females; Total population - 25 to 29 years
HC02_VC08,Number - Both sexes; Total population - 30 to 34 years
HC03_VC08,Number - Male; Total population - 30 to 34 years
HC04_VC08,Number - Female; Total population - 30 to 34 years
HC06_VC08,Percent - Both sexes; Total population - 30 to 34 years
HC07_VC08,Percent - Male; Total population - 30 to 34 years
HC08_VC08,Percent - Female; Total population - 30 to 34 years
HC09_VC08,Males per 100 females; Total population - 30 to 34 years
HC02_VC09,Number - Both sexes; Total population - 35 to 39 years
HC03_VC09,Number - Male; Total population - 35 to 39 years
HC04_VC09,Number - Female; Total population - 35 to 39 years
HC06_VC09,Percent - Both sexes; Total population - 35 to 39 years
