GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
SUBHD0101_S01,Number - Both sexes; Total population
SUBHD0102_S01,Number - Male; Total population
SUBHD0103_S01,Number - Female; Total population
SUBHD0201_S01,Percent - Both sexes; Total population
SUBHD0202_S01,Percent - Male; Total population
SUBHD0203_S01,Percent - Female; Total population
HD03_S01,Males per 100 females; Total population
SUBHD0101_S02,Number - Both sexes; Total population - Under 5 years
SUBHD0102_S02,Number - Male; Total population - Under 5 years
SUBHD0103_S02,Number - Female; Total population - Under 5 years
SUBHD0201_S02,Percent - Both sexes; Total population - Under 5 years
SUBHD0202_S02,Percent - Male; Total population - Under 5 years
SUBHD0203_S02,Percent - Female; Total population - Under 5 years
HD03_S02,Males per 100 females; Total population - Under 5 years
SUBHD0101_S03,Number - Both sexes; Total population - 5 to 9 years
SUBHD0102_S03,Number - Male; Total population - 5 to 9 years
SUBHD0103_S03,Number - Female; Total population - 5 to 9 years
SUBHD0201_S03,Percent - Both sexes; Total population - 5 to 9 years
SUBHD0202_S03,Percent - Male; Total population - 5 to 9 years
SUBHD0203_S03,Percent - Female; Total population - 5 to 9 years
HD03_S03,Males per 100 females; Total population - 5 to 9 years
SUBHD0101_S04,Number - Both sexes; Total population - 10 to 14 years
SUBHD0102_S04,Number - Male; Total population - 10 to 14 years
SUBHD0103_S04,Number - Female; Total population - 10 to 14 years
SUBHD0201_S04,Percent - Both sexes; Total population - 10 to 14 years
SUBHD0202_S04,Percent - Male; Total population - 10 to 14 years
SUBHD0203_S04,Percent - Female; Total population - 10 to 14 years
HD03_S04,Males per 100 females; Total population - 10 to 14 years
SUBHD0101_S05,Number - Both sexes; Total population - 15 to 19 years
SUBHD0102_S05,Number - Male; Total population - 15 to 19 years
SUBHD0103_S05,Number - Female; Total population - 15 to 19 years
SUBHD0201_S05,Percent - Both sexes; Total population - 15 to 19 years
SUBHD0202_S05,Percent - Male; Total population - 15 to 19 years
SUBHD0203_S05,Percent - Female; Total population - 15 to 19 years
HD03_S05,Males per 100 females; Total population - 15 to 19 years
SUBHD0101_S06,Number - Both sexes; Total population - 20 to 24 years
SUBHD0102_S06,Number - Male; Total population - 20 to 24 years
SUBHD0103_S06,Number - Female; Total population - 20 to 24 years
SUBHD0201_S06,Percent - Both sexes; Total population - 20 to 24 years
SUBHD0202_S06,Percent - Male; Total population - 20 to 24 years
SUBHD0203_S06,Percent - Female; Total population - 20 to 24 years
HD03_S06,Males per 100 females; Total population - 20 to 24 years
SUBHD0101_S07,Number - Both sexes; Total population - 25 to 29 years
SUBHD0102_S07,Number - Male; Total population - 25 to 29 years
SUBHD0103_S07,Number - Female; Total population - 25 to 29 years
SUBHD0201_S07,Percent - Both sexes; Total population - 25 to 29 years
SUBHD0202_S07,Percent - Male; Total population - 25 to 29 years
SUBHD0203_S07,Percent - Female; Total population - 25 to 29 years
HD03_S07,Males per 100 females; Total population - 25 to 29 years
SUBHD0101_S08,Number - Both sexes; Total population - 30 to 34 years
SUBHD0102_S08,Number - Male; Total population - 30 to 34 years
SUBHD0103_S08,Number - Female; Total population - 30 to 34 years
SUBHD0201_S08,Percent - Both sexes; Total population - 30 to 34 years
SUBHD0202_S08,Percent - Male; Total population - 30 to 34 years
SUBHD0203_S08,Percent - Female; Total population - 30 to 34 years
HD03_S08,Males per 100 females; Total population - 30 to 34 years
SUBHD0101_S09,Number - Both sexes; Total population - 35 to 39 years
SUBHD0102_S09,Number - Male; Total population - 35 to 39 years
SUBHD0103_S09,Number - Female; Total population - 35 to 39 years
SUBHD0201_S09,Percent - Both sexes; Total population - 35 to 39 years
SUBHD0202_S09,Percent - Male; Total population - 35 to 39 years
SUBHD0203_S09,Percent - Female; Total population - 35 to 39 years
HD03_S09,Males per 100 females; Total population - 35 to 39 years
SUBHD0101_S10,Number - Both sexes; Total population - 40 to 44 years
SUBHD0102_S10,Number - Male; Total population - 40 to 44 years
SUBHD0103_S10,Number - Female; Total population - 40 to 44 years
SUBHD0201_S10,Percent - Both sexes; Total population - 40 to 44 years
SUBHD0202_S10,Percent - Male; Total population - 40 to 44 years
SUBHD0203_S10,Percent - Female; Total population - 40 to 44 years
